# Rime user dictionary
#@/db_name	wubixinshiji
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	1920
#@/user_id	macbookpro
kb 	啊	c=4 d=1.02457 t=1738
kc 	吧	c=1 d=1 t=985
kcg 	吗	c=4 d=1.24737 t=1373
kej 	别	c=1 d=1 t=980
keww 	别人	c=1 d=1 t=349
kgn 	号	c=2 d=1.03337 t=1551
kh 	中	c=10 d=5.05867 t=1865
khlg 	中国	c=4 d=1.10151 t=1704
khny 	中心	c=1 d=1 t=1710
khq 	跑	c=1 d=1 t=1696
khqi 	跳	c=1 d=1 t=377
khtc 	路径	c=3 d=2.27343 t=1719
khtk 	路	c=1 d=1 t=968
khv 	跟	c=2 d=1.00064 t=1716
khx 	嘴	c=1 d=1 t=1379
kjf 	哩	c=2 d=1.99005 t=1138
kkdk 	器	c=1 d=1 t=1524
kkqb 	咒怨	c=2 d=1.87372 t=366
kkth 	品牌	c=10 d=1.24872 t=1755
kkw 	咒	c=1 d=1 t=325
kldn 	嗯	c=2 d=1.67032 t=755
kmh 	吊	c=3 d=2.8606 t=1217
kng 	哪	c=1 d=1 t=1376
knh 	叫	c=1 d=1 t=344
knx 	呢	c=1 d=1 t=860
kos 	嘛	c=1 d=1 t=761
ksh 	叮	c=2 d=1.99501 t=1646
kthh 	川	c=1 d=1 t=374
ktn 	吃	c=1 d=1 t=98
kw 	只	c=3 d=1.18008 t=1872
kwde 	只有	c=2 d=1.59156 t=1792
kwf 	啥	c=1 d=1 t=48
kwfk 	啥	c=1 d=1 t=1673
kwjg 	只是	c=1 d=1 t=1936
kxx 	哔	c=2 d=1.99005 t=1137
l 	国	c=1 d=1 t=1384
lfhf 	置	c=1 d=1 t=1280
lfof 	墨	c=1 d=1 t=420
lfom 	黜	c=4 d=2.64275 t=1898
lfpt 	黑客	c=1 d=1 t=517
lfq 	园	c=2 d=1.51171 t=1742
lftj 	署	c=1 d=1 t=1354
lfyw 	默认	c=6 d=2.51785 t=1856
lggg 	国王	c=1 d=1 t=1746
lgmw 	国内	c=2 d=1.62189 t=1526
lgpg 	国家	c=2 d=1.5627 t=369
lgqh 	国外	c=1 d=1 t=1744
lgut 	国产	c=2 d=1.96561 t=1714
lgwx 	国货	c=1 d=1 t=430
lh 	四	c=1 d=1 t=867
lhkt 	四川	c=3 d=1.41505 t=332
lk 	回	c=1 d=1 t=746
lkgk 	回事	c=1 d=1 t=429
lktj 	回复	c=1 d=1 t=1397
ln 	思	c=1 d=1 t=278
lp 	连	c=2 d=1.02746 t=1216
lpgb 	连击	c=1 d=1 t=498
lpru 	连接	c=2 d=1.07847 t=1849
lpxf 	连续	c=2 d=1.92312 t=1779
lq 	罗	c=1 d=1 t=794
lqyg 	鸭	c=2 d=1.99501 t=283
lt 	图	c=1 d=1 t=338
ltif 	输入法	c=1 d=1 t=9
ltth 	图片	c=2 d=1.00138 t=1822
ltwq 	图像	c=1 d=1 t=1819
lwbm 	输出	c=3 d=1.80168 t=1850
lwty 	输入	c=4 d=2.71981 t=1828
ma 	曲	c=1 d=1 t=598
mbts 	邮箱	c=1 d=1 t=1739
md 	央	c=1 d=1 t=523
meik 	崩溃	c=1 d=1 t=352
mf 	周	c=2 d=1.01716 t=1189
mfut 	财产	c=1 d=1 t=1127
mghh 	同步	c=2 d=1 t=1920
mgk 	同	c=2 d=1.96561 t=1892
mgsu 	同样	c=1 d=1 t=1888
mgww 	峡谷	c=1 d=1 t=583
mgyy 	同方	c=1 d=1 t=465
mj 	则	c=2 d=1.00032 t=1781
mjq 	赐	c=1 d=1 t=538
mmbw 	删除	c=2 d=1.02411 t=914
mnbm 	崛	c=1 d=1 t=1612
mnfh 	崛起	c=2 d=1.9802 t=1029
mp 	迪	c=1 d=1 t=1095
mqnu 	购买	c=4 d=1.16104 t=1751
mriy 	网游	c=3 d=2.96042 t=299
mrjq 	网易	c=2 d=1.0018 t=1295
mrr 	网	c=2 d=1.80654 t=1310
mruh 	网站	c=3 d=1.02498 t=1328
mrxt 	网络	c=5 d=2.42652 t=1708
mtkg 	账号	c=3 d=2.74334 t=1420
mubn 	赚了	c=2 d=1.9802 t=1685
muk 	赔	c=2 d=1.44486 t=752
muv 	赚	c=1 d=1 t=1676
muwi 	赔偿	c=1 d=1 t=579
mwdh 	内存	c=8 d=2.78275 t=1929
mwpw 	内容	c=3 d=2.23673 t=1853
mww 	肉	c=2 d=1.9802 t=198
nafi 	展示	c=3 d=2.24076 t=1929
nagu 	收藏夹	c=1 d=1 t=424
nalg 	民国	c=1 d=1 t=247
nayg 	民主	c=2 d=1.12431 t=1374
nctq 	怪物	c=1 d=1 t=387
ndxt 	怀疑	c=1 d=1 t=1366
nffl 	迅雷	c=1 d=1 t=216
nfty 	导入	c=1 d=1 t=1391
ngsu 	那样	c=1 d=1 t=766
ngtc 	那么	c=3 d=1.37625 t=1772
nguk 	情况	c=1 d=1 t=1506
nh 	收	c=1 d=1 t=951
nhj 	蛋	c=3 d=1.01318 t=1117
nhnh 	蛋蛋	c=1 d=1 t=584
nhwy 	收集	c=4 d=1.6994 t=1912
nhxj 	收费	c=1 d=1 t=19
njtg 	尼日利亚	c=1 d=1 t=1766
nn 	已	c=1 d=1 t=602
nnh 	书	c=1 d=1 t=73
nnqn 	书包	c=1 d=1 t=1309
nnux 	快递	c=1 d=1 t=1212
nnxa 	羽绒	c=2 d=1.99501 t=1031
nnxc 	已经	c=1 d=1 t=1930
